query acc.,strain accs.,identity,query coverage,evalue
CAH0417907.1,W.ghanensis_LMG_24286_00323,100.0,100,1.3499999999999998e-141
CAH0417907.1,W.fabaria_LMG_24289_01307,98.974,100,2.55e-140
CAH0417907.1,JAAXPN000000000_01154,89.231,100,2.11e-126
CAH0417907.1,NZ_JAFBDN000000000.1_01423,51.795,100,1.53e-70
CAH0417893.1,W.ghanensis_LMG_24286_00309,100.0,100,0.0
CAH0417893.1,W.fabaria_LMG_24289_01293,100.0,100,0.0
CAH0417893.1,JAAXPN000000000_01168,94.253,100,1.05e-180
CAH0417893.1,NZ_JAFBDN000000000.1_01409,65.152,99,2.02e-120
QRQ96649.1,GCF_007989765.1_00925,60.367,96,1.12e-147
QRQ96649.1,GCA_001437435.1_00194,60.367,96,1.12e-147
QRQ96649.1,SDGZ00000000_00891,56.848,97,1.03e-145
QRQ96649.1,BAWR00000000_01264,56.117,95,6.43e-134
QRQ96649.1,JQBP00000000_00068,53.385,97,4.7600000000000006e-132
CAH0416239.1,W.fabaria_LMG_24289_00538,100.0,76,0.0
CAH0416239.1,JAAXPN000000000_00562,82.222,76,0.0
CAH0416239.1,CP037940_02395,70.243,76,0.0
CAH0416239.1,NZ_JAFBDN000000000.1_01294,68.283,76,0.0
CAH0416239.1,JAIWJF000000000_00578,64.503,76,0.0
CAH0416239.1,GCA_000277855.1_01277,64.503,76,0.0
CAH0416239.1,GCA_009864005.1_00799,64.3,76,0.0
CAH0416239.1,JAIWJE000000000_02076,64.097,76,0.0
CAH0416239.1,GCF_013394005.1_00269,64.097,76,0.0
CAH0416238.1,W.fabaria_LMG_24289_00537,100.0,100,0.0
CAH0416238.1,JAAXPN000000000_00561,94.044,99,0.0
CAH0416238.1,CP037940_02396,80.818,99,0.0
CAH0416238.1,NZ_JAFBDN000000000.1_01293,81.818,99,1.62e-178
CAH0416238.1,JAIWJF000000000_00579,68.847,99,1.18e-148
CAH0416238.1,JAIWJE000000000_02075,68.847,99,1.18e-148
CAH0416238.1,GCF_013394005.1_00270,68.847,99,1.18e-148
CAH0416238.1,GCA_009864005.1_00800,68.847,99,1.18e-148
CAH0416238.1,GCA_000277855.1_01278,68.847,99,1.18e-148
