query acc.,strain accs.,identity,query coverage,evalue
MotB,NZ_JAFBDN000000000.1_01393,100.0,100,0.0
MotB,JAAXPN000000000_01184,50.0,100,3.31e-81
MotA,NZ_JAFBDN000000000.1_01394,100.0,100,0.0
MotA,W.fabaria_LMG_24289_01278,60.081,96,1.23e-104
MotA,W.ghanensis_LMG_24286_00294,59.677,96,3.17e-103
MotA,JAAXPN000000000_01183,58.468,96,1.09e-102
FlgB,NZ_JAFBDN000000000.1_01395,100.0,100,4.92e-88
FlgB,W.ghanensis_LMG_24286_00295,58.065,100,2.9999999999999997e-47
FlgB,W.fabaria_LMG_24289_01279,58.065,100,2.9999999999999997e-47
FlgB,JAAXPN000000000_01182,57.258,100,3.97e-46
FlgC,NZ_JAFBDN000000000.1_01396,100.0,100,8.159999999999998e-106
FlgC,JAAXPN000000000_01181,63.946,100,7.4e-63
FlgC,W.ghanensis_LMG_24286_00296,63.946,100,3.7e-62
FlgC,W.fabaria_LMG_24289_01280,63.265,100,6.9e-62
FliE,NZ_JAFBDN000000000.1_01397,100.0,100,3.8300000000000003e-72
FliE,JAAXPN000000000_01180,53.509,100,3.66e-32
FliE,W.ghanensis_LMG_24286_00297,52.885,97,3.1000000000000003e-30
FliE,W.fabaria_LMG_24289_01281,65.333,70,3.5e-30
FliF,NZ_JAFBDN000000000.1_01398,100.0,100,0.0
FliF,W.ghanensis_LMG_24286_00298,50.096,99,1.02e-168
FliG,NZ_JAFBDN000000000.1_01399,100.0,99,0.0
FliG,JAAXPN000000000_01178,67.365,100,1.2999999999999999e-174
FliG,W.ghanensis_LMG_24286_00299,66.667,99,2.43e-171
FliG,W.fabaria_LMG_24289_01283,66.364,99,1.3999999999999998e-170
FliH,NZ_JAFBDN000000000.1_01400,100.0,100,1.05e-172
flagellum-specific,NZ_JAFBDN000000000.1_01401,100.0,100,0.0
flagellum-specific,W.ghanensis_LMG_24286_00301,74.429,99,0.0
flagellum-specific,W.fabaria_LMG_24289_01285,74.201,99,0.0
flagellum-specific,JAAXPN000000000_01176,73.913,99,0.0
FliJ,NZ_JAFBDN000000000.1_01402,100.0,100,3.98e-99
FliK,NZ_JAFBDN000000000.1_01403,100.0,100,0.0
FlgD,NZ_JAFBDN000000000.1_01404,100.0,100,1.84e-112
FlgD,W.ghanensis_LMG_24286_00304,63.025,71,4.33e-43
FlgD,W.fabaria_LMG_24289_01288,63.025,71,4.33e-43
FlgD,JAAXPN000000000_01173,54.545,78,1.68e-39
FlgE,NZ_JAFBDN000000000.1_01405,100.0,100,0.0
FlbD,NZ_JAFBDN000000000.1_01406,100.0,100,2.65e-48
FliL,NZ_JAFBDN000000000.1_01407,100.0,100,4.28e-117
FliO/FliZ,NZ_JAFBDN000000000.1_01408,100.0,100,1.2000000000000001e-80
FliP,NZ_JAFBDN000000000.1_01409,100.0,100,0.0
FliP,JAAXPN000000000_01168,66.54,99,9.91e-122
FliP,W.ghanensis_LMG_24286_00309,65.152,99,3.0300000000000003e-121
FliP,W.fabaria_LMG_24289_01293,65.152,99,3.0300000000000003e-121
FliQ,NZ_JAFBDN000000000.1_01410,100.0,100,2.47e-56
FliQ,JAAXPN000000000_01167,69.767,99,2.38e-41
FliQ,W.ghanensis_LMG_24286_00310,68.605,99,1.9400000000000002e-33
FliQ,W.fabaria_LMG_24289_01294,68.605,99,1.9400000000000002e-33
FliR,NZ_JAFBDN000000000.1_01411,100.0,100,0.0
FliR,JAAXPN000000000_01166,51.6,99,3.72e-93
FliR,W.ghanensis_LMG_24286_00311,51.2,99,6.56e-93
FliR,W.fabaria_LMG_24289_01295,50.8,99,5.7599999999999996e-92
FlhB,NZ_JAFBDN000000000.1_01412,100.0,100,0.0
FlhB,JAAXPN000000000_01165,53.39,99,8.72e-135
FlhB,W.fabaria_LMG_24289_01296,52.125,99,3.93e-130
FlhB,W.ghanensis_LMG_24286_00312,52.125,99,9.71e-130
FlhA,NZ_JAFBDN000000000.1_01413,100.0,100,0.0
FlhA,W.ghanensis_LMG_24286_00313,74.928,100,0.0
FlhA,W.fabaria_LMG_24289_01297,74.638,100,0.0
FlhA,JAAXPN000000000_01164,75.148,98,0.0
FliA,NZ_JAFBDN000000000.1_01414,100.0,100,7.29e-175
FliA,JAAXPN000000000_01163,56.78,99,1.75e-92
FliA,W.ghanensis_LMG_24286_00314,56.54,99,9.34e-92
FliA,W.fabaria_LMG_24289_01298,56.118,99,1.38e-91
FlgG_1,NZ_JAFBDN000000000.1_01415,100.0,100,2.1600000000000003e-173
FlgG_1,W.fabaria_LMG_24289_01299,51.915,99,9.28e-79
FlgG_1,W.ghanensis_LMG_24286_00315,52.34,99,2.15e-78
FlgG_1,JAAXPN000000000_01162,51.489,99,2.42e-78
FlgG_2,NZ_JAFBDN000000000.1_01416,100.0,100,0.0
methyl-accepting,NZ_JAFBDN000000000.1_01472,100.0,100,0.0
methyl-accepting,NZ_JAFBDN000000000.1_01473,60.352,99,0.0
methyl-accepting,NZ_JAFBDN000000000.1_01474,59.238,99,0.0
methyl-accepting,JAAXPN000000000_01129,50.0,56,9.77e-114
CheW_1,NZ_JAFBDN000000000.1_01418,100.0,100,1.44e-118
CheW_1,W.ghanensis_LMG_24286_00318,65.278,89,5.83e-65
CheW_1,W.fabaria_LMG_24289_01302,65.278,89,5.83e-65
CheW_1,JAAXPN000000000_01159,63.889,89,1.75e-63
CheD,NZ_JAFBDN000000000.1_01419,100.0,99,9.31e-121
CheD,W.ghanensis_LMG_24286_00319,53.374,99,1.86e-59
CheD,W.fabaria_LMG_24289_01303,52.761,99,4.5e-59
CheD,JAAXPN000000000_01158,55.28,98,1.26e-58
CheB,NZ_JAFBDN000000000.1_01420,100.0,100,0.0
CheB,W.fabaria_LMG_24289_01304,56.936,100,1.02e-135
CheB,W.ghanensis_LMG_24286_00320,56.936,100,1.36e-135
CheB,JAAXPN000000000_01157,55.072,100,2.95e-130
CheR,NZ_JAFBDN000000000.1_01421,100.0,100,0.0
CheR,W.ghanensis_LMG_24286_00321,53.755,98,4.98e-95
CheR,W.fabaria_LMG_24289_01305,53.755,98,1.0499999999999999e-94
CheR,JAAXPN000000000_01156,51.779,98,2.16e-91
CheA,NZ_JAFBDN000000000.1_01422,100.0,100,0.0
CheA,W.ghanensis_LMG_24286_00322,65.0,99,0.0
CheA,W.fabaria_LMG_24289_01306,64.857,99,0.0
CheA,JAAXPN000000000_01155,63.897,99,0.0
CheC,NZ_JAFBDN000000000.1_01423,100.0,100,7.82e-142
CheC,W.fabaria_LMG_24289_01307,51.795,100,1.77e-71
CheC,W.ghanensis_LMG_24286_00323,51.795,100,2.28e-71
CheC,JAAXPN000000000_01154,50.256,100,1.81e-67
CheY,NZ_JAFBDN000000000.1_01424,100.0,100,8.45e-86
CheY,JAAXPN000000000_01153,87.5,100,2.3999999999999997e-75
CheY,W.ghanensis_LMG_24286_00324,87.5,100,6.45e-75
CheY,W.fabaria_LMG_24289_01308,87.5,100,6.45e-75
CheW_2,NZ_JAFBDN000000000.1_01425,100.0,100,6.39e-92
CheW_2,W.ghanensis_LMG_24286_00325,62.308,100,2.04e-53
CheW_2,W.fabaria_LMG_24289_01309,62.308,100,2.04e-53
CheW_2,JAAXPN000000000_01152,62.308,100,2.22e-53
FliM,NZ_JAFBDN000000000.1_01426,100.0,100,0.0
FliM,W.ghanensis_LMG_24286_00326,61.446,99,1.03e-154
FliM,W.fabaria_LMG_24289_01310,61.446,99,1.29e-153
FliM,JAAXPN000000000_01151,59.639,99,6.79e-149
FliN/FliY,NZ_JAFBDN000000000.1_01427,100.0,100,0.0
FliN/FliY,W.ghanensis_LMG_24286_00327,62.245,100,1.09e-159
FliN/FliY,W.fabaria_LMG_24289_01311,61.111,100,4.8800000000000005e-157
