query acc.,strain accs.,identity,query coverage,evalue
MotB,NZ_JAFBDN000000000.1_01393,100.0,100,0.0
MotA,NZ_JAFBDN000000000.1_01394,100.0,100,0.0
MotA,W.fabaria_LMG_24289_01278,60.081,96,1.23e-104
FlgB,NZ_JAFBDN000000000.1_01395,100.0,100,4.92e-88
FlgC,NZ_JAFBDN000000000.1_01396,100.0,100,8.159999999999998e-106
FlgC,JAAXPN000000000_01181,63.946,100,7.4e-63
FlgC,W.ghanensis_LMG_24286_00296,63.946,100,3.7e-62
FlgC,W.fabaria_LMG_24289_01280,63.265,100,6.9e-62
FliE,NZ_JAFBDN000000000.1_01397,100.0,100,3.8300000000000003e-72
FliE,W.fabaria_LMG_24289_01281,65.333,70,3.5e-30
FliF,NZ_JAFBDN000000000.1_01398,100.0,100,0.0
FliG,NZ_JAFBDN000000000.1_01399,100.0,99,0.0
FliG,JAAXPN000000000_01178,67.365,100,1.2999999999999999e-174
FliG,W.ghanensis_LMG_24286_00299,66.667,99,2.43e-171
FliG,W.fabaria_LMG_24289_01283,66.364,99,1.3999999999999998e-170
FliH,NZ_JAFBDN000000000.1_01400,100.0,100,1.05e-172
flagellum-specific,NZ_JAFBDN000000000.1_01401,100.0,100,0.0
flagellum-specific,W.ghanensis_LMG_24286_00301,74.429,99,0.0
flagellum-specific,W.fabaria_LMG_24289_01285,74.201,99,0.0
flagellum-specific,JAAXPN000000000_01176,73.913,99,0.0
FliJ,NZ_JAFBDN000000000.1_01402,100.0,100,3.98e-99
FliK,NZ_JAFBDN000000000.1_01403,100.0,100,0.0
FlgD,NZ_JAFBDN000000000.1_01404,100.0,100,1.84e-112
FlgD,W.ghanensis_LMG_24286_00304,63.025,71,4.33e-43
FlgD,W.fabaria_LMG_24289_01288,63.025,71,4.33e-43
FlgE,NZ_JAFBDN000000000.1_01405,100.0,100,0.0
FlbD,NZ_JAFBDN000000000.1_01406,100.0,100,2.65e-48
FliL,NZ_JAFBDN000000000.1_01407,100.0,100,4.28e-117
FliO/FliZ,NZ_JAFBDN000000000.1_01408,100.0,100,1.2000000000000001e-80
FliP,NZ_JAFBDN000000000.1_01409,100.0,100,0.0
FliP,JAAXPN000000000_01168,66.54,99,9.91e-122
FliP,W.ghanensis_LMG_24286_00309,65.152,99,3.0300000000000003e-121
FliP,W.fabaria_LMG_24289_01293,65.152,99,3.0300000000000003e-121
FliQ,NZ_JAFBDN000000000.1_01410,100.0,100,2.47e-56
FliQ,JAAXPN000000000_01167,69.767,99,2.38e-41
FliQ,W.ghanensis_LMG_24286_00310,68.605,99,1.9400000000000002e-33
FliQ,W.fabaria_LMG_24289_01294,68.605,99,1.9400000000000002e-33
FliR,NZ_JAFBDN000000000.1_01411,100.0,100,0.0
FlhB,NZ_JAFBDN000000000.1_01412,100.0,100,0.0
FlhA,NZ_JAFBDN000000000.1_01413,100.0,100,0.0
FlhA,W.ghanensis_LMG_24286_00313,74.928,100,0.0
FlhA,W.fabaria_LMG_24289_01297,74.638,100,0.0
